Class,Code Smells,LOC,Methods,Decisions
lang/java/tools/src/main/java/org/apache/avro/tool/IdlTool.java,9,101,9,15
lang/java/avro/src/main/java/org/apache/avro/io/ResolvingDecoder.java,9,319,18,33
lang/java/avro/src/main/java/org/apache/avro/util/SchemaResolver.java,8,244,28,20
lang/java/avro/src/main/java/org/apache/avro/util/TimePeriod.java,8,370,24,44
lang/java/mapred/src/main/java/org/apache/avro/mapred/tether/TetherJob.java,8,149,15,11
lang/java/ipc/src/main/java/org/apache/avro/ipc/RPCContext.java,8,197,23,4
lang/java/compiler/src/main/java/org/apache/avro/compiler/schema/Schemas.java,8,209,16,47
lang/java/mapred/src/main/java/org/apache/avro/mapred/TaggedInputSplit.java,8,140,14,12
lang/java/avro/src/main/java/org/apache/avro/data/Json.java,8,214,15,28
lang/java/ipc-netty/src/main/java/org/apache/avro/ipc/netty/NettyTransportCodec.java,7,160,19,9
lang/java/avro/src/main/java/org/apache/avro/io/JsonEncoder.java,7,311,38,19
lang/java/protobuf/src/main/java/org/apache/avro/protobuf/ProtoConversions.java,7,146,17,7
lang/java/avro/src/main/java/org/apache/avro/io/BlockingDirectBinaryEncoder.java,7,125,11,5
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroJob.java,7,219,30,21
lang/java/tools/src/main/java/org/apache/avro/tool/IdlToSchemataTool.java,7,101,13,12
lang/java/tools/src/main/java/org/apache/avro/tool/ConcatTool.java,7,155,16,19
lang/java/trevni/core/src/main/java/org/apache/trevni/ColumnFileWriter.java,6,150,16,12
lang/java/avro/src/main/java/org/apache/avro/io/EncoderFactory.java,6,403,20,11
lang/java/avro/src/main/java/org/apache/avro/data/RecordBuilderBase.java,6,150,14,12
lang/java/avro/src/main/java/org/apache/avro/io/BufferedBinaryEncoder.java,6,211,23,11
lang/java/avro/src/main/java/org/apache/avro/io/parsing/ValidatingGrammarGenerator.java,6,126,8,18
lang/java/compiler/src/main/java/org/apache/avro/compiler/idl/SchemaResolver.java,6,142,13,6
lang/java/trevni/core/src/main/java/org/apache/trevni/ColumnFileReader.java,6,133,17,8
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificErrorBuilderBase.java,6,120,12,2
lang/java/avro/src/main/java/org/apache/avro/generic/PrimitivesArrays.java,6,576,69,67
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificDatumReader.java,6,209,26,20
lang/java/avro/src/main/java/org/apache/avro/io/DirectBinaryDecoder.java,6,173,16,15
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroSerialization.java,6,120,11,7
lang/java/tools/src/main/java/org/apache/avro/tool/RpcReceiveTool.java,6,140,11,9
lang/java/tools/src/main/java/org/apache/avro/tool/FromTextTool.java,5,103,6,8
lang/java/mapred/src/main/java/org/apache/avro/hadoop/io/AvroSerialization.java,5,260,21,20
lang/java/tools/src/main/java/org/apache/avro/tool/TrevniToJsonTool.java,5,169,12,24
lang/java/compiler/src/main/java/org/apache/avro/compiler/idl/ResolvingVisitor.java,5,165,11,26
lang/java/trevni/core/src/main/java/org/apache/trevni/MetaData.java,5,123,20,9
