Project,Release,File,Normalized_File,Size_LOC,NR,NAuth,NFix,Age_in_Days,Weighted_Age,LOC_Added,Max_LOC_Added,Average_LOC_Added,LOC_Deleted,Max_LOC_Deleted,Average_LOC_Deleted,Churn,Max_Churn,Average_Churn,Change_Set_Size,Max_Change_Set_Size,Average_Change_Set_Size,Average_ND,Average_Entropy,NSmells,Buggy
AVRO,1.5.3,lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroValue.java,org/apache/avro/mapred/AvroValue.java,25,3,2,3,218,6104,28,25,9,0,0,0,28,25,9,1658,665,552,145.6667,7.3426,0,No
AVRO,1.5.3,lang/java/mapred/src/main/java/org/apache/avro/mapred/SequenceFileInputFormat.java,org/apache/avro/mapred/SequenceFileInputFormat.java,37,2,2,2,89,3827,43,43,21,0,0,0,43,43,21,980,643,490,83,7.0294,0,No
AVRO,1.5.3,lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroRecordReader.java,org/apache/avro/mapred/AvroRecordReader.java,72,6,2,6,272,34272,107,86,17,19,10,3,126,86,21,1376,502,229,48,5.6562,0,No
AVRO,1.5.3,lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroAsTextInputFormat.java,org/apache/avro/mapred/AvroAsTextInputFormat.java,55,1,1,1,0,0,61,61,61,0,0,0,61,61,61,1138,1138,1138,323,8.6857,0,No
AVRO,1.5.3,lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroCollector.java,org/apache/avro/mapred/AvroCollector.java,24,2,2,2,147,4116,28,28,14,0,0,0,28,28,14,993,564,496,86.5,7.6171,0,No
AVRO,1.5.3,lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroInputFormat.java,org/apache/avro/mapred/AvroInputFormat.java,48,2,2,2,258,14448,56,56,28,0,0,0,56,56,28,975,502,487,89.5,7.7978,0,No
AVRO,1.5.3,lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroReducer.java,org/apache/avro/mapred/AvroReducer.java,56,4,2,4,384,57216,107,72,26,42,38,10,149,72,37,1984,810,496,128.5,7.3512,0,No
AVRO,1.5.3,lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroMapper.java,org/apache/avro/mapred/AvroMapper.java,47,4,2,4,384,50304,93,66,23,38,35,9,131,66,32,1984,810,496,128.5,7.3512,0,No
AVRO,1.5.3,lang/java/avro/src/main/java/org/apache/avro/specific/FixedSize.java,org/apache/avro/specific/FixedSize.java,34,6,2,6,572,25740,41,30,6,4,2,0,45,30,7,2048,809,341,53.6667,6.1658,0,No
AVRO,1.5.3,lang/java/avro/src/main/java/org/apache/avro/specific/SpecificFixed.java,org/apache/avro/specific/SpecificFixed.java,25,6,2,6,643,20576,30,28,5,2,1,0,32,28,5,2682,809,447,96.3333,6.5907,0,No
AVRO,1.5.3,lang/java/avro/src/main/java/org/apache/avro/specific/SpecificRecord.java,org/apache/avro/specific/SpecificRecord.java,23,9,2,6,615,63960,65,30,7,39,30,4,104,30,11,2193,525,243,43.8889,6.0671,0,No
AVRO,1.5.3,lang/java/avro/src/main/java/org/apache/avro/specific/SpecificDatumWriter.java,org/apache/avro/specific/SpecificDatumWriter.java,48,15,2,12,635,130810,132,43,8,74,43,4,206,43,13,2807,527,187,32.6667,5.031,0,No
AVRO,1.5.3,lang/java/avro/src/main/java/org/apache/avro/SchemaParseException.java,org/apache/avro/SchemaParseException.java,23,7,2,4,615,45510,50,24,7,24,24,3,74,24,10,2074,809,296,48.4286,6.2996,0,No
AVRO,1.5.3,lang/java/avro/src/main/java/org/apache/avro/file/FileReader.java,org/apache/avro/file/FileReader.java,41,2,2,2,89,4361,49,49,24,0,0,0,49,49,24,980,643,490,83,7.0294,0,No
AVRO,1.5.3,lang/java/avro/src/main/java/org/apache/avro/file/SeekableFileInput.java,org/apache/avro/file/SeekableFileInput.java,31,7,2,4,615,63345,70,32,10,33,32,4,103,32,14,2221,809,317,50,6.252,0,No
AVRO,1.5.3,lang/java/avro/src/main/java/org/apache/avro/file/Codec.java,org/apache/avro/file/Codec.java,48,5,3,5,327,26160,65,39,13,15,7,3,80,39,16,1180,496,236,46.8,5.0885,0,No
AVRO,1.5.3,lang/java/avro/src/main/java/org/apache/avro/file/CodecFactory.java,org/apache/avro/file/CodecFactory.java,69,4,3,4,439,35998,82,70,20,0,0,0,82,70,20,1937,801,484,127,6.3972,0,No
AVRO,1.5.3,lang/java/avro/src/main/java/org/apache/avro/file/SeekableInput.java,org/apache/avro/file/SeekableInput.java,31,8,2,5,697,85034,80,36,10,42,36,5,122,36,15,2693,809,336,74.5,6.2143,0,No
AVRO,1.5.3,lang/java/avro/src/main/java/org/apache/avro/reflect/Union.java,org/apache/avro/reflect/Union.java,37,4,2,4,375,17625,43,37,10,4,4,1,47,37,11,1674,809,418,66,6.1124,0,No
AVRO,1.5.3,lang/java/avro/src/main/java/org/apache/avro/reflect/Stringable.java,org/apache/avro/reflect/Stringable.java,32,3,2,3,372,12648,34,34,11,0,0,0,34,34,11,1662,809,554,86,7.0122,0,No
AVRO,1.5.3,lang/java/avro/src/main/java/org/apache/avro/reflect/Nullable.java,org/apache/avro/reflect/Nullable.java,31,2,2,2,286,9438,33,33,16,0,0,0,33,33,16,973,494,486,88,7.794,0,No
AVRO,1.5.3,lang/java/avro/src/main/java/org/apache/avro/io/DatumReader.java,org/apache/avro/io/DatumReader.java,31,8,2,5,615,77490,82,39,10,44,39,5,126,39,15,2102,544,262,46.125,5.91,0,No
AVRO,1.5.3,lang/java/avro/src/main/java/org/apache/avro/io/DatumWriter.java,org/apache/avro/io/DatumWriter.java,30,8,2,5,615,71340,76,36,9,40,36,5,116,36,14,2125,809,265,44.875,5.9251,0,No
AVRO,1.5.3,lang/java/avro/src/main/java/org/apache/avro/generic/GenericRecord.java,org/apache/avro/generic/GenericRecord.java,26,9,2,6,615,71955,72,28,8,45,28,5,117,28,13,2382,525,264,44.7778,5.8284,0,No
