Project,Release,File,Normalized_File,Size_LOC,NR,NAuth,NFix,Age_in_Days,Weighted_Age,LOC_Added,Max_LOC_Added,Average_LOC_Added,LOC_Deleted,Max_LOC_Deleted,Average_LOC_Deleted,Churn,Max_Churn,Average_Churn,Change_Set_Size,Max_Change_Set_Size,Average_Change_Set_Size,Average_ND,Average_Entropy,NSmells,Buggy
AVRO,1.1.0,src/java/org/apache/avro/specific/SpecificExceptionBase.java,org/apache/avro/specific/SpecificExceptionBase.java,33,3,1,3,92,3956,42,40,14,1,1,0,43,40,14,505,277,168,27.3333,5.7888,0,No
AVRO,1.1.0,src/java/org/apache/avro/specific/SpecificCompiler.java,org/apache/avro/specific/SpecificCompiler.java,259,16,1,13,145,117160,548,225,34,260,225,16,808,225,50,932,270,58,13.4375,3.9636,0,No
AVRO,1.1.0,src/java/org/apache/avro/util/Utf8.java,org/apache/avro/util/Utf8.java,74,5,1,2,145,37265,172,80,34,85,80,17,257,80,51,710,298,142,24.6,5.6691,0,No
AVRO,1.1.0,src/java/org/apache/avro/file/DataFileReader.java,org/apache/avro/file/DataFileReader.java,188,7,1,4,109,73793,448,208,64,229,208,32,677,208,96,826,216,118,21.1429,5.1691,0,No
AVRO,1.1.0,src/java/org/apache/avro/file/DataFileWriter.java,org/apache/avro/file/DataFileWriter.java,179,8,1,5,131,78731,404,183,50,197,183,24,601,183,75,873,216,109,20.125,5.1248,0,No
AVRO,1.1.0,src/java/org/apache/avro/Schema.java,org/apache/avro/Schema.java,663,20,1,16,147,318843,1449,451,72,720,451,36,2169,451,108,1043,243,52,12.7,3.6456,0,No
AVRO,1.1.0,src/java/org/apache/avro/Protocol.java,org/apache/avro/Protocol.java,296,15,1,11,140,156800,731,300,48,389,300,25,1120,300,74,985,243,65,14.6667,4.1464,0,No
AVRO,1.1.0,src/java/org/apache/avro/reflect/ReflectDatumReader.java,org/apache/avro/reflect/ReflectDatumReader.java,101,11,1,8,124,55800,284,92,25,166,92,15,450,92,40,925,217,84,16.4545,4.7604,0,No
AVRO,1.1.0,src/java/org/apache/avro/reflect/ReflectResponder.java,org/apache/avro/reflect/ReflectResponder.java,112,11,1,8,145,59305,269,118,24,140,118,12,409,118,37,979,216,89,18.1818,4.8373,0,No
AVRO,1.1.0,src/java/org/apache/avro/reflect/ReflectData.java,org/apache/avro/reflect/ReflectData.java,273,13,1,9,145,118755,562,194,43,257,194,19,819,194,63,1012,217,77,16.6154,4.519,0,Yes
