Dataset,Classifier,Balancing,FeatureSelection,Iteration,Fold,Precision,Recall,AUC,Kappa,NPofB20
AVRO,NaiveBayes,Undersampling,InfoGain,1,9,0.2188,0.6364,0.8079,0.2597,0.6364
AVRO,NaiveBayes,Undersampling,InfoGain,1,10,0.1818,0.5455,0.8132,0.2011,0.4545
AVRO,NaiveBayes,Undersampling,InfoGain,2,1,0.1522,0.6364,0.8477,0.1655,0.3636
AVRO,NaiveBayes,Undersampling,InfoGain,2,2,0.1702,0.7273,0.8221,0.1986,0.1886
AVRO,NaiveBayes,Undersampling,InfoGain,2,3,0.3043,0.7000,0.8483,0.3770,0.7000
AVRO,NaiveBayes,Undersampling,InfoGain,2,4,0.2000,0.5455,0.7357,0.2249,0.5455
AVRO,NaiveBayes,Undersampling,InfoGain,2,5,0.1277,0.5455,0.7969,0.1218,0.1818
AVRO,NaiveBayes,Undersampling,InfoGain,2,6,0.2105,0.7273,0.8770,0.2577,0.6364
AVRO,NaiveBayes,Undersampling,InfoGain,2,7,0.2105,0.7273,0.8644,0.2577,0.8182
AVRO,NaiveBayes,Undersampling,InfoGain,2,8,0.2222,0.7273,0.8363,0.2739,0.5455
AVRO,NaiveBayes,Undersampling,InfoGain,2,9,0.1563,0.4545,0.8171,0.1576,0.5455
AVRO,NaiveBayes,Undersampling,InfoGain,2,10,0.1818,0.5455,0.7796,0.2011,0.5455
AVRO,NaiveBayes,Undersampling,InfoGain,3,1,0.1957,0.8182,0.7827,0.2432,0.6364
AVRO,NaiveBayes,Undersampling,InfoGain,3,2,0.1071,0.2727,0.7482,0.0749,0.3636
AVRO,NaiveBayes,Undersampling,InfoGain,3,3,0.1591,0.7000,0.8322,0.1873,0.7000
AVRO,NaiveBayes,Undersampling,InfoGain,3,4,0.2000,0.5455,0.8713,0.2249,0.4545
AVRO,NaiveBayes,Undersampling,InfoGain,3,5,0.2059,0.6364,0.7990,0.2427,0.5146
AVRO,NaiveBayes,Undersampling,InfoGain,3,6,0.2571,0.8182,0.8631,0.3304,0.5455
AVRO,NaiveBayes,Undersampling,InfoGain,3,7,0.1818,0.7273,0.8145,0.2159,0.5320
AVRO,NaiveBayes,Undersampling,InfoGain,3,8,0.2162,0.7273,0.8665,0.2657,0.3636
AVRO,NaiveBayes,Undersampling,InfoGain,3,9,0.1429,0.6364,0.7898,0.1504,0.1818
AVRO,NaiveBayes,Undersampling,InfoGain,3,10,0.2500,0.5455,0.8589,0.2842,0.6364
AVRO,NaiveBayes,Undersampling,InfoGain,4,1,0.2941,0.9091,0.9117,0.3896,0.8182
AVRO,NaiveBayes,Undersampling,InfoGain,4,2,0.2432,0.8182,0.8647,0.3119,0.3636
AVRO,NaiveBayes,Undersampling,InfoGain,4,3,0.1395,0.6000,0.7155,0.1516,0.5116
AVRO,NaiveBayes,Undersampling,InfoGain,4,4,0.1765,0.5455,0.7417,0.1938,0.4545
AVRO,NaiveBayes,Undersampling,InfoGain,4,5,0.2069,0.5455,0.8292,0.2336,0.6364
AVRO,NaiveBayes,Undersampling,InfoGain,4,6,0.1961,0.9091,0.9049,0.2487,0.4807
AVRO,NaiveBayes,Undersampling,InfoGain,4,7,0.1522,0.6364,0.7995,0.1650,0.3636
AVRO,NaiveBayes,Undersampling,InfoGain,4,8,0.3000,0.8182,0.8689,0.3852,0.7498
AVRO,NaiveBayes,Undersampling,InfoGain,4,9,0.1892,0.6364,0.8308,0.2198,0.7173
AVRO,NaiveBayes,Undersampling,InfoGain,4,10,0.2059,0.6364,0.8770,0.2427,0.3636
AVRO,NaiveBayes,Undersampling,InfoGain,5,1,0.2353,0.7273,0.8647,0.2919,0.7241
AVRO,NaiveBayes,Undersampling,InfoGain,5,2,0.1667,0.4545,0.7889,0.1718,0.4072
AVRO,NaiveBayes,Undersampling,InfoGain,5,3,0.1395,0.6000,0.8259,0.1516,0.5000
AVRO,NaiveBayes,Undersampling,InfoGain,5,4,0.2188,0.6364,0.8053,0.2597,0.6364
AVRO,NaiveBayes,Undersampling,InfoGain,5,5,0.1765,0.5455,0.8245,0.1938,0.5725
AVRO,NaiveBayes,Undersampling,InfoGain,5,6,0.2813,0.8182,0.8849,0.3618,0.6058
AVRO,NaiveBayes,Undersampling,InfoGain,5,7,0.2069,0.5455,0.8082,0.2336,0.5455
AVRO,NaiveBayes,Undersampling,InfoGain,5,8,0.3600,0.8182,0.9185,0.4547,0.6541
AVRO,NaiveBayes,Undersampling,InfoGain,5,9,0.1892,0.6364,0.8408,0.2198,0.5455
AVRO,NaiveBayes,Undersampling,InfoGain,5,10,0.1667,0.7273,0.8339,0.1927,0.2727
AVRO,NaiveBayes,Undersampling,InfoGain,6,1,0.2727,0.5455,0.8007,0.3088,0.5455
AVRO,NaiveBayes,Undersampling,InfoGain,6,2,0.2326,0.9091,0.8892,0.3045,0.4545
AVRO,NaiveBayes,Undersampling,InfoGain,6,3,0.1923,0.5000,0.8138,0.2163,0.5000
AVRO,NaiveBayes,Undersampling,InfoGain,6,4,0.1373,0.6364,0.7809,0.1414,0.4874
AVRO,NaiveBayes,Undersampling,InfoGain,6,5,0.2500,0.9091,0.9291,0.3293,0.6364
AVRO,NaiveBayes,Undersampling,InfoGain,6,6,0.2727,0.8182,0.9070,0.3509,0.4545
AVRO,NaiveBayes,Undersampling,InfoGain,6,7,0.1944,0.6364,0.8833,0.2271,0.6364
AVRO,NaiveBayes,Undersampling,InfoGain,6,8,0.1176,0.3636,0.8219,0.0961,0.6364
AVRO,NaiveBayes,Undersampling,InfoGain,6,9,0.2143,0.8182,0.8135,0.2705,0.4545
AVRO,NaiveBayes,Undersampling,InfoGain,6,10,0.1316,0.4545,0.8216,0.1227,0.4282
AVRO,NaiveBayes,Undersampling,InfoGain,7,1,0.1212,0.3636,0.7827,0.1017,0.4545
AVRO,NaiveBayes,Undersampling,InfoGain,7,2,0.1622,0.5455,0.7811,0.1743,0.3700
AVRO,NaiveBayes,Undersampling,InfoGain,7,3,0.2222,0.6000,0.8078,0.2661,0.4205
AVRO,NaiveBayes,Undersampling,InfoGain,7,4,0.1538,0.3636,0.8392,0.1443,0.4863
AVRO,NaiveBayes,Undersampling,InfoGain,7,5,0.2500,0.9091,0.9298,0.3293,0.6364
AVRO,NaiveBayes,Undersampling,InfoGain,7,6,0.2286,0.7273,0.8744,0.2826,0.5455
AVRO,NaiveBayes,Undersampling,InfoGain,7,7,0.2188,0.6364,0.8250,0.2597,0.4164
AVRO,NaiveBayes,Undersampling,InfoGain,7,8,0.2051,0.7273,0.8342,0.2501,0.7273
AVRO,NaiveBayes,Undersampling,InfoGain,7,9,0.1500,0.5455,0.8182,0.1562,0.4545
AVRO,NaiveBayes,Undersampling,InfoGain,7,10,0.1842,0.6364,0.8297,0.2127,0.7273
AVRO,NaiveBayes,Undersampling,InfoGain,8,1,0.1923,0.4545,0.8639,0.2037,0.4545
AVRO,NaiveBayes,Undersampling,InfoGain,8,2,0.1429,0.5455,0.8187,0.1459,0.2727
AVRO,NaiveBayes,Undersampling,InfoGain,8,3,0.2258,0.7000,0.8739,0.2825,0.7000
AVRO,NaiveBayes,Undersampling,InfoGain,8,4,0.1429,0.6364,0.7231,0.1504,0.3636
AVRO,NaiveBayes,Undersampling,InfoGain,8,5,0.1915,0.8182,0.8823,0.2364,0.6364
AVRO,NaiveBayes,Undersampling,InfoGain,8,6,0.1538,0.3636,0.7105,0.1443,0.4545
AVRO,NaiveBayes,Undersampling,InfoGain,8,7,0.1429,0.5455,0.7922,0.1454,0.3636
AVRO,NaiveBayes,Undersampling,InfoGain,8,8,0.2564,0.9091,0.9196,0.3383,0.5455
AVRO,NaiveBayes,Undersampling,InfoGain,8,9,0.2051,0.7273,0.8713,0.2501,0.6364
AVRO,NaiveBayes,Undersampling,InfoGain,8,10,0.1778,0.7273,0.8597,0.2098,0.7273
AVRO,NaiveBayes,Undersampling,InfoGain,9,1,0.1818,0.9091,0.8793,0.2264,0.6178
AVRO,NaiveBayes,Undersampling,InfoGain,9,2,0.1778,0.7273,0.8124,0.2102,0.5455
AVRO,NaiveBayes,Undersampling,InfoGain,9,3,0.2069,0.6000,0.9000,0.2468,0.6000
AVRO,NaiveBayes,Undersampling,InfoGain,9,4,0.2813,0.8182,0.8823,0.3618,0.6364
AVRO,NaiveBayes,Undersampling,InfoGain,9,5,0.1707,0.6364,0.8219,0.1932,0.2727
AVRO,NaiveBayes,Undersampling,InfoGain,9,6,0.2424,0.7273,0.8460,0.3009,0.4545
AVRO,NaiveBayes,Undersampling,InfoGain,9,7,0.1875,0.5455,0.7882,0.2087,0.4718
AVRO,NaiveBayes,Undersampling,InfoGain,9,8,0.2188,0.6364,0.8523,0.2597,0.3636
AVRO,NaiveBayes,Undersampling,InfoGain,9,9,0.2353,0.7273,0.8786,0.2916,0.6784
AVRO,NaiveBayes,Undersampling,InfoGain,9,10,0.2000,0.5455,0.7693,0.2249,0.4545
AVRO,NaiveBayes,Undersampling,InfoGain,10,1,0.2083,0.4545,0.7738,0.2223,0.4551
AVRO,NaiveBayes,Undersampling,InfoGain,10,2,0.2045,0.8182,0.8435,0.2565,0.3636
AVRO,NaiveBayes,Undersampling,InfoGain,10,3,0.2439,1.0000,0.9316,0.3340,0.6825
AVRO,NaiveBayes,Undersampling,InfoGain,10,4,0.2000,0.7273,0.8418,0.2427,0.4545
AVRO,NaiveBayes,Undersampling,InfoGain,10,5,0.2400,0.5455,0.8681,0.2730,0.6364
AVRO,NaiveBayes,Undersampling,InfoGain,10,6,0.2000,0.5455,0.8187,0.2249,0.6493
AVRO,NaiveBayes,Undersampling,InfoGain,10,7,0.1892,0.6364,0.8571,0.2198,0.6232
AVRO,NaiveBayes,Undersampling,InfoGain,10,8,0.2692,0.6364,0.8439,0.3214,0.6364
AVRO,NaiveBayes,Undersampling,InfoGain,10,9,0.1613,0.4545,0.6965,0.1643,0.4279
AVRO,NaiveBayes,Undersampling,InfoGain,10,10,0.2222,0.9091,0.9322,0.2888,0.5455
AVRO,NaiveBayes,Oversampling,InfoGain,1,1,0.2059,0.6364,0.8767,0.2431,0.5455
AVRO,NaiveBayes,Oversampling,InfoGain,1,2,0.2333,0.6364,0.8388,0.2787,0.5129
AVRO,NaiveBayes,Oversampling,InfoGain,1,3,0.2353,0.8000,0.8920,0.3053,0.5074
AVRO,NaiveBayes,Oversampling,InfoGain,1,4,0.1034,0.2727,0.6232,0.0693,0.2727
AVRO,NaiveBayes,Oversampling,InfoGain,1,5,0.2286,0.7273,0.8791,0.2826,0.6771
AVRO,NaiveBayes,Oversampling,InfoGain,1,6,0.1724,0.4545,0.8424,0.1788,0.4545
AVRO,NaiveBayes,Oversampling,InfoGain,1,7,0.2432,0.8182,0.9322,0.3115,0.3915
AVRO,NaiveBayes,Oversampling,InfoGain,1,8,0.3226,0.9091,0.9170,0.4255,0.7273
AVRO,NaiveBayes,Oversampling,InfoGain,1,9,0.2188,0.6364,0.7864,0.2597,0.6364
AVRO,NaiveBayes,Oversampling,InfoGain,1,10,0.1622,0.5455,0.8350,0.1739,0.5482
AVRO,NaiveBayes,Oversampling,InfoGain,2,1,0.2121,0.6364,0.8968,0.2514,0.6364
AVRO,NaiveBayes,Oversampling,InfoGain,2,2,0.2059,0.6364,0.8067,0.2431,0.1818
AVRO,NaiveBayes,Oversampling,InfoGain,2,3,0.2174,0.5000,0.8322,0.2459,0.6000
AVRO,NaiveBayes,Oversampling,InfoGain,2,4,0.2069,0.5455,0.7472,0.2336,0.5455
AVRO,NaiveBayes,Oversampling,InfoGain,2,5,0.1500,0.5455,0.8337,0.1562,0.2727
AVRO,NaiveBayes,Oversampling,InfoGain,2,6,0.2222,0.7273,0.9154,0.2739,0.7273
AVRO,NaiveBayes,Oversampling,InfoGain,2,7,0.2857,0.9091,0.8970,0.3782,0.8182
AVRO,NaiveBayes,Oversampling,InfoGain,2,8,0.2222,0.7273,0.8452,0.2739,0.5455
AVRO,NaiveBayes,Oversampling,InfoGain,2,9,0.2222,0.5455,0.8508,0.2523,0.6364
AVRO,NaiveBayes,Oversampling,InfoGain,2,10,0.1500,0.5455,0.7798,0.1562,0.4545
AVRO,NaiveBayes,Oversampling,InfoGain,3,1,0.2093,0.8182,0.7994,0.2636,0.6364
AVRO,NaiveBayes,Oversampling,InfoGain,3,2,0.1481,0.3636,0.7910,0.1377,0.4545
AVRO,NaiveBayes,Oversampling,InfoGain,3,3,0.2500,0.8000,0.9069,0.3251,0.9000
AVRO,NaiveBayes,Oversampling,InfoGain,3,4,0.2222,0.5455,0.8623,0.2523,0.3292
AVRO,NaiveBayes,Oversampling,InfoGain,3,5,0.2000,0.4545,0.8184,0.2124,0.6364
AVRO,NaiveBayes,Oversampling,InfoGain,3,6,0.2581,0.7273,0.8615,0.3210,0.7529
AVRO,NaiveBayes,Oversampling,InfoGain,3,7,0.2162,0.7273,0.8276,0.2657,0.4545
AVRO,NaiveBayes,Oversampling,InfoGain,3,8,0.2667,0.7273,0.8555,0.3318,0.3876
AVRO,NaiveBayes,Oversampling,InfoGain,3,9,0.1944,0.6364,0.8219,0.2271,0.3530
AVRO,NaiveBayes,Oversampling,InfoGain,3,10,0.2609,0.5455,0.8686,0.2960,0.6364
AVRO,NaiveBayes,Oversampling,InfoGain,4,1,0.2500,0.7273,0.9013,0.3111,0.6364
AVRO,NaiveBayes,Oversampling,InfoGain,4,2,0.2647,0.8182,0.9013,0.3408,0.3636
AVRO,NaiveBayes,Oversampling,InfoGain,4,3,0.1622,0.6000,0.7276,0.1856,0.6000
AVRO,NaiveBayes,Oversampling,InfoGain,4,4,0.1923,0.4545,0.7727,0.2033,0.4545
AVRO,NaiveBayes,Oversampling,InfoGain,4,5,0.2400,0.5455,0.8255,0.2730,0.7273
AVRO,NaiveBayes,Oversampling,InfoGain,4,6,0.2647,0.8182,0.8849,0.3404,0.6959
AVRO,NaiveBayes,Oversampling,InfoGain,4,7,0.1333,0.5455,0.7937,0.1308,0.3246
AVRO,NaiveBayes,Oversampling,InfoGain,4,8,0.2857,0.7273,0.8594,0.3549,0.8182
AVRO,NaiveBayes,Oversampling,InfoGain,4,9,0.1842,0.6364,0.8192,0.2127,0.7273
AVRO,NaiveBayes,Oversampling,InfoGain,4,10,0.2414,0.6364,0.9086,0.2883,0.2963
AVRO,NaiveBayes,Oversampling,InfoGain,5,1,0.2500,0.7273,0.8673,0.3111,0.7273
AVRO,NaiveBayes,Oversampling,InfoGain,5,2,0.1667,0.4545,0.8004,0.1718,0.4072
AVRO,NaiveBayes,Oversampling,InfoGain,5,3,0.2069,0.6000,0.8190,0.2468,0.4508
AVRO,NaiveBayes,Oversampling,InfoGain,5,4,0.2258,0.6364,0.8082,0.2688,0.6364
AVRO,NaiveBayes,Oversampling,InfoGain,5,5,0.1667,0.5455,0.8329,0.1802,0.5455
AVRO,NaiveBayes,Oversampling,InfoGain,5,6,0.2059,0.6364,0.8870,0.2427,0.6364
AVRO,NaiveBayes,Oversampling,InfoGain,5,7,0.2000,0.5455,0.8119,0.2249,0.5455
AVRO,NaiveBayes,Oversampling,InfoGain,5,8,0.2963,0.7273,0.9007,0.3673,0.6056
AVRO,NaiveBayes,Oversampling,InfoGain,5,9,0.1892,0.6364,0.8445,0.2198,0.4545
AVRO,NaiveBayes,Oversampling,InfoGain,5,10,0.2000,0.7273,0.8329,0.2427,0.3636
AVRO,NaiveBayes,Oversampling,InfoGain,6,1,0.2727,0.5455,0.8085,0.3088,0.5455
AVRO,NaiveBayes,Oversampling,InfoGain,6,2,0.2222,0.9091,0.8971,0.2892,0.4545
AVRO,NaiveBayes,Oversampling,InfoGain,6,3,0.2083,0.5000,0.8368,0.2355,0.5000
AVRO,NaiveBayes,Oversampling,InfoGain,6,4,0.1538,0.5455,0.7683,0.1618,0.5455
AVRO,NaiveBayes,Oversampling,InfoGain,6,5,0.3125,0.9091,0.9317,0.4129,0.7178
AVRO,NaiveBayes,Oversampling,InfoGain,6,6,0.2581,0.7273,0.9170,0.3210,0.6016
AVRO,NaiveBayes,Oversampling,InfoGain,6,7,0.2121,0.6364,0.8765,0.2510,0.6364
AVRO,NaiveBayes,Oversampling,InfoGain,6,8,0.1333,0.3636,0.8166,0.1180,0.6364
AVRO,NaiveBayes,Oversampling,InfoGain,6,9,0.2250,0.8182,0.8171,0.2860,0.4545
AVRO,NaiveBayes,Oversampling,InfoGain,6,10,0.1351,0.4545,0.8198,0.1280,0.3636
AVRO,NaiveBayes,Oversampling,InfoGain,7,1,0.1143,0.3636,0.7785,0.0917,0.4545
AVRO,NaiveBayes,Oversampling,InfoGain,7,2,0.1463,0.5455,0.7868,0.1512,0.4545
AVRO,NaiveBayes,Oversampling,InfoGain,7,3,0.2727,0.6000,0.8069,0.3245,0.5000
AVRO,NaiveBayes,Oversampling,InfoGain,7,4,0.2727,0.5455,0.8755,0.3085,0.6364
AVRO,NaiveBayes,Oversampling,InfoGain,7,5,0.2326,0.9091,0.9338,0.3041,0.4545
AVRO,NaiveBayes,Oversampling,InfoGain,7,6,0.2162,0.7273,0.8896,0.2657,0.6364
AVRO,NaiveBayes,Oversampling,InfoGain,7,7,0.1905,0.7273,0.8284,0.2288,0.1818
AVRO,NaiveBayes,Oversampling,InfoGain,7,8,0.2222,0.7273,0.8739,0.2739,0.7273
AVRO,NaiveBayes,Oversampling,InfoGain,7,9,0.1818,0.5455,0.8434,0.2011,0.5455
AVRO,NaiveBayes,Oversampling,InfoGain,7,10,0.1818,0.5455,0.8313,0.2011,0.6364
AVRO,NaiveBayes,Oversampling,InfoGain,8,1,0.2400,0.5455,0.8545,0.2733,0.6364
AVRO,NaiveBayes,Oversampling,InfoGain,8,2,0.1579,0.5455,0.8177,0.1682,0.3636
AVRO,NaiveBayes,Oversampling,InfoGain,8,3,0.2121,0.7000,0.8652,0.2642,0.7000
AVRO,NaiveBayes,Oversampling,InfoGain,8,4,0.2051,0.7273,0.7546,0.2501,0.3636
AVRO,NaiveBayes,Oversampling,InfoGain,8,5,0.1892,0.6364,0.8487,0.2198,0.5455
AVRO,NaiveBayes,Oversampling,InfoGain,8,6,0.2083,0.4545,0.7136,0.2219,0.4545
AVRO,NaiveBayes,Oversampling,InfoGain,8,7,0.2069,0.5455,0.7911,0.2336,0.4317
AVRO,NaiveBayes,Oversampling,InfoGain,8,8,0.2500,0.6364,0.9196,0.2988,0.7007
AVRO,NaiveBayes,Oversampling,InfoGain,8,9,0.2222,0.7273,0.8749,0.2739,0.4714
AVRO,NaiveBayes,Oversampling,InfoGain,8,10,0.2703,0.9091,0.9201,0.3574,0.8182
AVRO,NaiveBayes,Oversampling,InfoGain,9,1,0.2051,0.7273,0.8804,0.2505,0.6364
AVRO,NaiveBayes,Oversampling,InfoGain,9,2,0.1765,0.5455,0.8391,0.1943,0.4545
AVRO,NaiveBayes,Oversampling,InfoGain,9,3,0.1935,0.6000,0.8983,0.2293,0.6000
AVRO,NaiveBayes,Oversampling,InfoGain,9,4,0.2692,0.6364,0.8828,0.3214,0.7273
AVRO,NaiveBayes,Oversampling,InfoGain,9,5,0.1842,0.6364,0.8261,0.2127,0.1818
AVRO,NaiveBayes,Oversampling,InfoGain,9,6,0.2143,0.5455,0.8484,0.2427,0.5455
AVRO,NaiveBayes,Oversampling,InfoGain,9,7,0.1935,0.5455,0.7856,0.2166,0.5455
AVRO,NaiveBayes,Oversampling,InfoGain,9,8,0.2414,0.6364,0.8502,0.2883,0.5491
AVRO,NaiveBayes,Oversampling,InfoGain,9,9,0.2222,0.7273,0.8623,0.2739,0.7273
AVRO,NaiveBayes,Oversampling,InfoGain,9,10,0.2400,0.5455,0.7509,0.2730,0.4545
AVRO,NaiveBayes,Oversampling,InfoGain,10,1,0.1923,0.4545,0.7947,0.2037,0.4545
AVRO,NaiveBayes,Oversampling,InfoGain,10,2,0.2143,0.8182,0.8378,0.2709,0.5083
AVRO,NaiveBayes,Oversampling,InfoGain,10,3,0.2105,0.8000,0.9305,0.2706,0.7000
AVRO,NaiveBayes,Oversampling,InfoGain,10,4,0.2051,0.7273,0.8455,0.2501,0.5455
AVRO,NaiveBayes,Oversampling,InfoGain,10,5,0.2500,0.5455,0.8760,0.2842,0.6364
AVRO,NaiveBayes,Oversampling,InfoGain,10,6,0.1875,0.5455,0.8261,0.2087,0.6602
AVRO,NaiveBayes,Oversampling,InfoGain,10,7,0.2059,0.6364,0.8692,0.2427,0.5455
AVRO,NaiveBayes,Oversampling,InfoGain,10,8,0.2800,0.6364,0.8552,0.3336,0.6364
AVRO,NaiveBayes,Oversampling,InfoGain,10,9,0.1667,0.4545,0.6986,0.1714,0.3636
AVRO,NaiveBayes,Oversampling,InfoGain,10,10,0.2051,0.7273,0.9212,0.2501,0.5893
AVRO,NaiveBayes,SMOTE,InfoGain,1,1,0.2609,0.5455,0.8804,0.2963,0.6364
AVRO,NaiveBayes,SMOTE,InfoGain,1,2,0.3158,0.5455,0.8399,0.3511,0.5455
AVRO,NaiveBayes,SMOTE,InfoGain,1,3,0.2692,0.7000,0.8937,0.3368,0.7000
AVRO,NaiveBayes,SMOTE,InfoGain,1,4,0.1200,0.2727,0.6012,0.0912,0.2727
AVRO,NaiveBayes,SMOTE,InfoGain,1,5,0.2258,0.6364,0.8823,0.2688,0.7273
AVRO,NaiveBayes,SMOTE,InfoGain,1,6,0.2500,0.4545,0.8234,0.2660,0.4545
AVRO,NaiveBayes,SMOTE,InfoGain,1,7,0.3214,0.8182,0.9317,0.4110,0.5455
AVRO,NaiveBayes,SMOTE,InfoGain,1,8,0.3571,0.9091,0.9157,0.4671,0.8182
AVRO,NaiveBayes,SMOTE,InfoGain,1,9,0.2727,0.5455,0.7827,0.3085,0.6364
AVRO,NaiveBayes,SMOTE,InfoGain,1,10,0.2400,0.5455,0.8413,0.2730,0.4545
AVRO,NaiveBayes,SMOTE,InfoGain,2,1,0.2333,0.6364,0.8984,0.2787,0.5455
AVRO,NaiveBayes,SMOTE,InfoGain,2,2,0.2593,0.6364,0.8103,0.3101,0.4545
AVRO,NaiveBayes,SMOTE,InfoGain,2,3,0.2778,0.5000,0.8362,0.3088,0.7000
AVRO,NaiveBayes,SMOTE,InfoGain,2,4,0.2857,0.5455,0.7483,0.3218,0.5455
AVRO,NaiveBayes,SMOTE,InfoGain,2,5,0.2000,0.4545,0.8321,0.2124,0.4545
AVRO,NaiveBayes,SMOTE,InfoGain,2,6,0.3200,0.7273,0.9143,0.3941,0.7122
AVRO,NaiveBayes,SMOTE,InfoGain,2,7,0.2800,0.6364,0.8996,0.3336,0.7273
AVRO,NaiveBayes,SMOTE,InfoGain,2,8,0.2857,0.7273,0.8431,0.3549,0.5455
AVRO,NaiveBayes,SMOTE,InfoGain,2,9,0.2105,0.3636,0.8555,0.2066,0.4545
AVRO,NaiveBayes,SMOTE,InfoGain,2,10,0.2000,0.4545,0.7504,0.2124,0.4545
AVRO,NaiveBayes,SMOTE,InfoGain,3,1,0.2121,0.6364,0.8109,0.2514,0.6364
AVRO,NaiveBayes,SMOTE,InfoGain,3,2,0.1500,0.2727,0.8114,0.1265,0.3636
AVRO,NaiveBayes,SMOTE,InfoGain,3,3,0.2273,0.5000,0.9057,0.2570,0.7000
AVRO,NaiveBayes,SMOTE,InfoGain,3,4,0.3000,0.5455,0.8650,0.3359,0.3917
AVRO,NaiveBayes,SMOTE,InfoGain,3,5,0.2941,0.4545,0.8153,0.3068,0.5455
AVRO,NaiveBayes,SMOTE,InfoGain,3,6,0.3333,0.7273,0.8626,0.4087,0.7273
AVRO,NaiveBayes,SMOTE,InfoGain,3,7,0.2000,0.5455,0.8261,0.2249,0.4850
AVRO,NaiveBayes,SMOTE,InfoGain,3,8,0.2963,0.7273,0.8592,0.3673,0.5685
AVRO,NaiveBayes,SMOTE,InfoGain,3,9,0.2692,0.6364,0.8140,0.3214,0.5066
AVRO,NaiveBayes,SMOTE,InfoGain,3,10,0.3000,0.5455,0.8676,0.3359,0.5455
AVRO,NaiveBayes,SMOTE,InfoGain,4,1,0.3333,0.6364,0.9070,0.3899,0.7273
AVRO,NaiveBayes,SMOTE,InfoGain,4,2,0.3600,0.8182,0.8934,0.4550,0.6364
AVRO,NaiveBayes,SMOTE,InfoGain,4,3,0.1667,0.5000,0.7293,0.1834,0.5000
AVRO,NaiveBayes,SMOTE,InfoGain,4,4,0.1765,0.2727,0.7796,0.1528,0.2727
AVRO,NaiveBayes,SMOTE,InfoGain,4,5,0.2500,0.4545,0.8297,0.2660,0.5455
AVRO,NaiveBayes,SMOTE,InfoGain,4,6,0.3600,0.8182,0.8823,0.4547,0.8182
AVRO,NaiveBayes,SMOTE,InfoGain,4,7,0.1563,0.4545,0.7948,0.1576,0.3636
AVRO,NaiveBayes,SMOTE,InfoGain,4,8,0.2692,0.6364,0.8605,0.3214,0.6364
AVRO,NaiveBayes,SMOTE,InfoGain,4,9,0.1852,0.4545,0.8229,0.1947,0.5455
AVRO,NaiveBayes,SMOTE,InfoGain,4,10,0.3333,0.6364,0.9049,0.3896,0.5749
AVRO,NaiveBayes,SMOTE,InfoGain,5,1,0.2963,0.7273,0.8636,0.3676,0.7273
AVRO,NaiveBayes,SMOTE,InfoGain,5,2,0.2381,0.4545,0.7999,0.2543,0.4545
AVRO,NaiveBayes,SMOTE,InfoGain,5,3,0.2400,0.6000,0.8195,0.2875,0.6000
AVRO,NaiveBayes,SMOTE,InfoGain,5,4,0.2000,0.4545,0.8119,0.2124,0.6364
AVRO,NaiveBayes,SMOTE,InfoGain,5,5,0.2500,0.5455,0.8339,0.2842,0.5455
AVRO,NaiveBayes,SMOTE,InfoGain,5,6,0.2692,0.6364,0.8891,0.3214,0.6364
AVRO,NaiveBayes,SMOTE,InfoGain,5,7,0.2632,0.4545,0.8129,0.2787,0.5455
AVRO,NaiveBayes,SMOTE,InfoGain,5,8,0.3529,0.5455,0.9096,0.3838,0.7273
AVRO,NaiveBayes,SMOTE,InfoGain,5,9,0.2414,0.6364,0.8408,0.2883,0.5217
AVRO,NaiveBayes,SMOTE,InfoGain,5,10,0.3077,0.7273,0.8345,0.3804,0.6292
AVRO,NaiveBayes,SMOTE,InfoGain,6,1,0.3529,0.5455,0.8127,0.3841,0.5455
AVRO,NaiveBayes,SMOTE,InfoGain,6,2,0.2571,0.8182,0.8976,0.3307,0.4735
AVRO,NaiveBayes,SMOTE,InfoGain,6,3,0.2000,0.4000,0.8330,0.2094,0.4000
AVRO,NaiveBayes,SMOTE,InfoGain,6,4,0.1724,0.4545,0.7777,0.1788,0.4545
AVRO,NaiveBayes,SMOTE,InfoGain,6,5,0.4000,0.7273,0.9228,0.4757,0.8182
AVRO,NaiveBayes,SMOTE,InfoGain,6,6,0.3478,0.7273,0.9133,0.4240,0.6364
AVRO,NaiveBayes,SMOTE,InfoGain,6,7,0.2414,0.6364,0.8741,0.2883,0.6343
AVRO,NaiveBayes,SMOTE,InfoGain,6,8,0.1000,0.1818,0.8156,0.0562,0.3636
AVRO,NaiveBayes,SMOTE,InfoGain,6,9,0.3000,0.8182,0.8177,0.3852,0.7249
AVRO,NaiveBayes,SMOTE,InfoGain,6,10,0.1724,0.4545,0.8182,0.1788,0.4545
AVRO,NaiveBayes,SMOTE,InfoGain,7,1,0.1667,0.3636,0.7827,0.1601,0.1818
AVRO,NaiveBayes,SMOTE,InfoGain,7,2,0.1765,0.5455,0.7842,0.1943,0.4545
AVRO,NaiveBayes,SMOTE,InfoGain,7,3,0.3529,0.6000,0.8029,0.4036,0.6000
AVRO,NaiveBayes,SMOTE,InfoGain,7,4,0.2857,0.3636,0.8833,0.2712,0.5455
AVRO,NaiveBayes,SMOTE,InfoGain,7,5,0.3103,0.8182,0.9338,0.3978,0.6364
AVRO,NaiveBayes,SMOTE,InfoGain,7,6,0.2857,0.7273,0.8902,0.3549,0.5841
